session.code,num_rounds_total,num_rounds_per_block,length_multi_digit,timeout_seconds_multi_digit,winning_color_triangle,red_majority,number_left_urn_triangle,number_left_urn_square,round_number,participant.code,id_in_group,wrong_answer_1,wrong_answer_2,wrong_answer_3,wrong_answer_4,wrong_answer_5,wrong_answer_6,wrong_answer_7,payoff,participant_payoff,consent,treatment_assignment,cognitive_load,similar_ingroup,observing_ingroup,type_assignment,group_assignment,urn_choice,optimal_urn,color_drawn_marble,memorized_correctly,memorize_number,recalled_number,share_winning_color,pay_task,q1,q2,q3,q4nocl,q4,q5nocl,q5,q6,q7,q8,age,gender,study_subject,monetary_earnings
mi5avdkt,80,4,7,8,blue,0,3,4,1,5jzeq7x4,1,,,,,,,,100.0,4900.0,1,,,,,individual_learner,triangle,1,1,blue,,,,,,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,11t22lq2,2,,,,,,,,100.0,5000.0,1,,,,,individual_learner,square,0,0,red,,,,,,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,dg0uitjh,3,1,,,,,1,,0.0,4800.0,1,,,,,individual_learner,triangle,0,1,red,,,,,,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,2fd2gpu9,4,,,,,,,,0.0,4800.0,1,,,,,individual_learner,square,1,0,blue,,,,,,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,kwzhtlwp,5,,,,,,,,100.0,4600.0,1,,,,,individual_learner,triangle,0,1,blue,,,,,,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,zug0u5ut,6,,,,,,,,100.0,4000.0,1,,,,,individual_learner,square,0,0,red,,,,,,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,qx243gt7,7,,,1,,,,,100.0,4700.0,1,,,,,individual_learner,triangle,1,1,blue,,,,,,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,8cjbhgtp,8,,,,,,,,100.0,5400.0,1,,,,,individual_learner,square,0,0,red,,,,,,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,lm082wt1,9,,,,,,,,0.0,4900.0,1,,,,,individual_learner,triangle,0,1,red,,,,,,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,3925ojv7,10,,,,,,,,0.0,4200.0,1,,,,,individual_learner,square,0,0,blue,,,,,,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,u5rqndlr,1,,,,1,,,,0.0,5000.0,1,0,0,,,social_learner,triangle,,,,,,5783446,,s,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,x2kjy584,2,,,,,,,,0.0,6100.0,1,1,0,,,social_learner,square,,,,,,7225487,,m,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,n707315r,3,,,,,,,,0.0,4400.0,1,0,1,,,social_learner,triangle,,,,,,7111661,,m,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,yzf7209r,4,,,,,,,,0.0,4500.0,1,1,1,,,social_learner,square,,,,,,7816478,,m,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,970xu8h4,5,1,1,,,,,,0.0,6300.0,1,2,0,,,social_learner,triangle,,,,,,4587152,,m,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,48agslux,6,,,,,,,,0.0,4300.0,1,3,0,,,social_learner,square,,,,,,5733868,,s,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,fk4frc1d,7,,,,,,,,0.0,4900.0,1,2,1,,,social_learner,triangle,,,,,,6834525,,s,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,ntlq61nl,8,,,,1,,,,0.0,5200.0,1,3,1,,,social_learner,square,,,,,,3753563,,s,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,5ypqgs2b,9,,,,1,,,,0.0,5000.0,1,4,0,,,social_learner,triangle,,,,,,1727714,,s,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,ni0dju4a,10,1,1,,,,,,0.0,5600.0,1,5,0,,,social_learner,square,,,,,,8547145,,m,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,joh0dfp1,11,,,,,,,,0.0,5600.0,1,4,1,,,social_learner,triangle,,,,,,7234263,,m,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,k7kzfqn7,12,,,,,,,,0.0,5500.0,1,5,1,,,social_learner,square,,,,,,8526632,,m,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,dzmgirmw,13,,1,,,,,,0.0,5900.0,1,6,0,,,social_learner,triangle,,,,,,6861158,,m,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,15g1ing0,14,1,,,,,,,0.0,5700.0,1,7,0,,,social_learner,square,,,,,,1168357,,s,,,,,,,,,,,,,,
mi5avdkt,80,4,7,8,blue,0,3,4,1,b0u5ywbz,15,,1,,,1,,,0.0,5200.0,1,6,1,,,social_learner,triangle,,,,,,8117411,,s,,,,,,,,,,,,,,
